Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MGRC,McGrath RentCorp,52.259,1263076566,n/a,1984,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mgrc
MDCA,MDC Partners Inc.,2.36,117846824.2,n/a,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/mdca
MTBC,"Medical Transcription Billing, Corp.",4.96,58675599.68,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtbc
MTBCP,"Medical Transcription Billing, Corp.",25.9027,24071353.21,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtbcp
MDSO,"Medidata Solutions, Inc.",72.9,4460783951,n/a,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mdso
MLNX,"Mellanox Technologies, Ltd.",89.09,4768162816,n/a,2007,Technology,Semiconductors,https://www.nasdaq.com/symbol/mlnx
MFGP,Micro Focus Intl PLC,18.79,7980895810,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mfgp
MCHP,Microchip Technology Incorporated,73,17265205472,n/a,1993,Technology,Semiconductors,https://www.nasdaq.com/symbol/mchp
MU,"Micron Technology, Inc.",36.38,41264210543,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/mu
MSFT,Microsoft Corporation,103.12,7.91572E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/msft
MSTR,MicroStrategy Incorporated,125.29,1436749794,n/a,1998,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mstr
MCRN,Milacron Holdings Corp.,14.19,1003473549,n/a,2015,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mcrn
MIME,Mimecast Limited,35.73,2146065961,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mime
MNDO,MIND C.T.I. Ltd.,2.3,44407061.4,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mndo
MB,"MINDBODY, Inc.",25.65,1229125582,n/a,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/mb
MIND,"Mitcham Industries, Inc.",3.55,43023866.45,n/a,1994,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mind
MINDP,"Mitcham Industries, Inc.",22.2,0,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mindp
MITK,"Mitek Systems, Inc.",9.34,354557832.2,n/a,n/a,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/mitk
MITL,Mitel Networks Corporation,10.98,1351481118,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/mitl
MIXT,MiX Telematics Limited,17.68,402931443.2,n/a,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mixt
MOBL,"MobileIron, Inc.",4.675,493468199.1,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mobl
MODN,"Model N, Inc.",13.77,433032171.4,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/modn
MOMO,Momo Inc.,31.63,4709849019,148904490,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/momo
MDB,"MongoDB, Inc.",73.93," $3,860,320,747.70 ",n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mdb
MPWR,"Monolithic Power Systems, Inc.",123.58,5241274960,n/a,2004,Technology,Semiconductors,https://www.nasdaq.com/symbol/mpwr
TYPE,Monotype Imaging Holdings Inc.,17.22,715361677.8,n/a,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/type
MOSY,"MoSys, Inc.",0.2269,9448248.963,n/a,2001,Technology,Semiconductors,https://www.nasdaq.com/symbol/mosy
MSI,"Motorola Solutions, Inc.",124.11,20295443697,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/msi
MOXC,"Moxian, Inc.",0.57,38393616.54,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/moxc
MTEC,MTech Acquisition Corp.,10.0001,21372663.72,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtec
MTECU,MTech Acquisition Corp.,11.0975,0,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtecu
MTECW,MTech Acquisition Corp.,1.2,0,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtecw
MYSZ,"My Size, Inc.",1.0741,31911541.07,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mysz
NNDM,Nano Dimension Ltd.,1.89,17532951.66,9276694,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/nndm
NH,"NantHealth, Inc.",1.14,124820055.8,n/a,2016,Technology,EDP Services,https://www.nasdaq.com/symbol/nh
NATI,National Instruments Corporation,46.96,6219034614,n/a,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nati
NPTN,NeoPhotonics Corporation,7.92,364710273.8,n/a,2011,Technology,Semiconductors,https://www.nasdaq.com/symbol/nptn
NETE,"Net Element, Inc.",6.05,23371264.95,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nete
NTAP,"NetApp, Inc.",65.89,16596766036,n/a,1995,Technology,Electronic Components,https://www.nasdaq.com/symbol/ntap
NTCT,"NetScout Systems, Inc.",25.59,1988463887,n/a,1999,Technology,EDP Services,https://www.nasdaq.com/symbol/ntct
NTWK,NetSol Technologies Inc.,6.74,79480506.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ntwk
